,Discriminacao,Dificuldade,Adivinhacao
V199,3.084,-1.918,0.067
V200,6.223,-1.691,0.007
V201,-1.893,-2.621,0.000
V202,1.128,-3.183,0.161
V203,1.708,-3.192,0.086
V204,3.011,-2.253,0.052
V205,3.464,-2.051,0.039
V206,5.324,-1.976,0.031
V207,4.955,-2.119,0.031
V208,4.406,-1.987,0.028
V209,2.002,-3.036,0.065
V210,5.124,-1.832,0.017
