,Discriminacao,Dificuldade,Adivinhacao
V197,-1.722,-0.377,0.036
V198,3.386,2.708,0.105
V199,-3.166,-0.662,0.231
V200,6.303,-0.203,0.098
V201,-3.842,-0.937,0.011
V202,7.890,-0.940,0.055
V203,-0.144,12.559,0.083
V204,-3.247,-1.009,0.009
V205,4.773,-0.919,0.055
V206,0.487,0.849,0.101
V207,7.387,-0.186,0.069
V208,-17.238,-1.135,0.005
V209,4.161,-0.895,0.058
V210,-2.663,-0.689,0.026
V211,4.360,-0.822,0.058
V212,-0.449,-4.885,0.082
V213,-5.138,-0.686,0.011
V214,0.956,1.628,0.188
V215,3.886,-0.738,0.062
V216,-3.965,-0.869,0.008
V217,-1.675,-0.293,0.485
V218,8.477,-0.932,0.055
V219,0.503,2.260,0.082
V220,-1.470,-0.432,0.018
V221,-2.407,-1.460,0.009
V222,-3.625,-0.895,0.201
V223,0.623,0.455,0.082
V224,-16.185,-1.245,0.003
V225,8.224,-0.785,0.469
V226,-1.980,0.313,0.018
V227,-2.875,-1.456,0.008
V228,0.917,5.643,0.047
V229,-2.453,-0.300,0.010
V230,-2.096,-1.042,0.012
V231,5.694,0.338,0.229
V232,-0.047,-22.670,0.259
V233,-1.611,-1.474,0.015
V234,-2.973,-2.959,0.010
V235,0.004,-364.605,0.129
V236,5.250,-0.893,0.056
V237,-0.054,18.092,0.174
V238,6.798,-0.339,0.070
V239,7.946,-0.722,0.057
V240,3.235,-0.768,0.068
V241,-5.382,-0.917,0.006
V242,-2.251,-1.561,0.010
V243,3.837,-0.392,0.079
V244,-2.008,-0.363,0.015
V245,-1.593,-2.693,0.361
V246,-1.415,-1.166,0.017
V247,-0.529,-3.485,0.069
V248,7.217,-0.132,0.082
V249,4.434,-0.941,0.053
V250,-1.154,-2.259,0.422
V251,4.340,1.290,0.217
V252,-2.543,-0.828,0.010
V253,7.593,-0.843,0.432
V254,-2.174,-2.849,0.228
V255,1.699,1.472,0.273
V256,-1.419,-2.006,0.043
V257,-1.874,-1.179,0.012
V258,2.637,-0.761,0.069
V259,4.705,-0.872,0.056
V260,1.506,-1.148,0.068
V261,2.712,1.013,0.193
V262,2.234,0.270,0.160
V263,-3.247,-1.605,0.623
V264,1.707,0.147,0.219
V265,5.082,-0.449,0.070
V266,2.374,2.933,0.127
V267,-3.261,-1.339,0.070
V268,10.967,-0.882,0.051
V269,-5.588,-0.841,0.006
V270,-1.828,-2.340,0.009
V271,-17.238,-1.134,0.005
V272,4.434,-0.941,0.054
V273,3.614,2.362,0.186
V274,4.170,-0.696,0.070
V275,-1.941,-2.152,0.009
V276,-1.844,-0.848,0.013
V277,-1.767,-1.111,0.014
V278,-0.872,0.103,0.099
V279,4.402,-0.586,0.068
V280,6.970,-0.186,0.071
V281,-3.782,-1.088,0.010
V282,5.453,-0.814,0.059
V283,2.977,1.246,0.319
V284,3.268,1.379,0.206
V285,1.212,-1.134,0.079
V286,-3.233,-0.664,0.044
V287,-5.164,-0.876,0.007
V288,-5.309,-0.987,0.006
V289,-2.679,-1.496,0.124
V290,-4.116,-0.965,0.010
V291,-2.335,-1.392,0.013
V292,3.974,-0.792,0.061
V293,0.559,1.428,0.214
V294,7.008,-1.101,0.052
V295,-0.937,-1.790,0.029
V296,-0.902,-1.687,0.031
V297,1.201,-0.875,0.073
V298,4.657,-0.444,0.070
V299,-1.948,-2.190,0.009
V300,-1.046,0.686,0.189
V301,1.986,1.259,0.177
V302,-1.525,-0.838,0.015
V303,-1.147,-2.293,0.051
V304,4.276,-0.771,0.059
V305,-2.778,-0.998,0.010
V306,0.902,2.776,0.176
V307,-5.075,-0.835,0.008
V308,-1.235,-0.409,0.024
V309,-2.623,-1.045,0.011
V310,-4.448,-0.916,0.017
V311,-1.722,-2.620,0.010
V312,6.881,-0.975,0.282
V313,-0.954,-0.400,0.045
V314,6.773,-0.317,0.071
V315,-3.016,-2.130,0.301
V316,-17.238,-1.134,0.005
V317,1.655,1.851,0.146
V318,0.715,-1.117,0.082
V319,10.967,-0.881,0.051
V320,-3.403,-1.189,0.108
V321,-1.139,0.825,0.191
V322,2.491,-0.014,0.100
V323,1.011,0.832,0.273
V324,6.083,-0.484,0.063
