,Discriminacao,Dificuldade,Adivinhacao
V315,-1.905,1.740,0.046
V316,-10.774,0.137,0.064
V317,-1.517,0.360,0.263
V318,2.895,-0.922,0.001
V319,1.738,5.922,0.333
V320,-3.556,1.087,0.015
V321,2.121,-0.242,0.001
V322,-6.266,-1.249,0.079
V323,-2.216,1.619,0.045
V324,-0.802,4.854,0.073
V325,-3.948,0.835,0.009
V326,-5.299,0.507,0.239
V327,-0.203,41.575,0.264
V328,2.657,0.708,0.002
V329,-3.986,1.092,0.831
V330,-5.354,-0.077,0.004
V331,-3.310,3.223,0.113
V332,-0.202,41.709,0.265
V333,-1.704,1.823,0.046
V334,-6.555,1.155,0.304
V335,-2.218,0.871,0.012
V336,-2.406,0.655,0.218
V337,3.501,-0.810,0.001
V338,0.348,6.686,0.006
V339,-2.551,1.186,0.112
V340,-4.040,1.990,0.574
V341,-4.766,0.627,0.009
V342,-5.234,1.380,0.210
V343,-3.189,1.217,0.026
V344,-4.028,1.994,0.575
V345,-0.376,3.623,0.143
V346,-2.439,2.186,0.045
V347,-4.178,2.218,0.087
V348,-1.649,2.286,0.048
V349,-2.520,1.373,0.069
V350,-0.392,9.657,0.082
V351,-2.967,0.825,0.009
V352,-0.201,41.906,0.267
V353,-0.999,2.046,0.120
V354,-0.201,41.970,0.267
V355,-10.077,0.038,0.132
V356,-1.643,2.270,0.055
V357,-0.201,42.033,0.268
V358,-1.616,0.810,0.015
V359,-2.070,0.639,0.152
V360,0.249,25.737,0.014
V361,-4.502,1.717,0.089
V362,-0.200,42.095,0.268
V363,-0.851,1.073,0.041
V364,-0.802,4.849,0.072
V365,-3.406,0.977,0.017
V366,-4.014,1.998,0.575
V367,-2.774,0.751,0.024
V368,-3.435,-0.627,0.006
V369,-3.205,0.214,0.004
V370,-5.411,0.526,0.008
V371,-11.010,0.141,0.004
V372,2.847,-1.121,0.001
V373,-0.800,4.855,0.078
V374,-4.178,2.218,0.087
V375,-4.875,0.270,0.011
V376,-1.703,-0.801,0.217
V377,-4.253,2.212,0.085
V378,-0.199,42.278,0.270
V379,-8.125,0.657,0.100
V380,-0.199,42.395,0.271
V381,-0.791,4.921,0.073
V382,-10.225,1.015,0.006
V383,-8.873,1.206,0.019
V384,-4.241,2.213,0.086
V385,-3.397,1.046,0.165
V386,-4.000,-0.131,0.004
V387,1.171,0.473,0.008
V388,-2.527,1.174,0.021
V389,0.188,39.752,0.193
V390,-2.016,0.904,0.097
V391,-3.996,2.004,0.576
V392,4.240,-0.202,0.049
V393,0.014,496.754,0.679
V394,-3.449,0.881,0.010
V395,-1.362,1.630,0.053
V396,-1.456,3.247,0.054
V397,-3.977,2.010,0.576
V398,-4.216,1.730,0.087
V399,-1.436,2.460,0.059
V400,-1.245,2.451,0.063
V401,0.961,-2.436,0.038
V402,-0.681,2.051,0.089
V403,-1.545,2.660,0.046
V404,-4.177,2.218,0.087
V405,-10.752,0.110,0.004
V406,-4.176,2.218,0.087
V407,-3.526,0.542,0.008
V408,-3.612,1.082,0.015
V409,-0.413,5.586,0.098
V410,-0.672,6.754,0.068
V411,-8.377,0.757,0.006
V412,-10.226,1.015,0.006
V413,-0.745,2.417,0.065
V414,-1.996,2.085,0.037
V415,-0.896,5.031,0.065
V416,-10.976,-0.014,0.004
V417,2.305,-0.226,0.001
V418,18.745,2.101,0.000
V419,-0.878,3.139,0.112
V420,-0.197,42.881,0.276
V421,-8.908,0.298,0.125
V422,-1.003,1.537,0.251
V423,-0.702,3.606,0.113
V424,-2.620,0.874,0.019
V425,-0.913,2.115,0.100
V426,2.909,-0.391,0.001
V427,1.565,-1.073,0.003
V428,-0.603,5.522,0.090
V429,0.119,-35.324,0.083
V430,-2.225,1.621,0.047
