,Discriminacao,Dificuldade,Adivinhacao
V200,0.954,-3.932,0.013
V201,0.870,-2.846,0.012
V202,0.897,-0.852,0.086
V203,2.354,-3.020,0.065
V204,1.805,-2.013,0.070
V205,1.180,-2.852,0.017
V206,1.243,-1.166,0.004
V207,1.547,-1.267,0.134
V208,0.954,-2.620,0.005
V209,1.356,-2.286,0.099
V210,2.214,-2.024,0.320
V211,1.195,-2.046,0.009
V212,3.504,-2.654,0.001
V213,3.340,-2.801,0.038
V214,1.147,-2.336,0.019
V215,5.006,-2.374,0.105
V216,0.734,-3.180,0.013
V217,1.413,-2.138,0.148
V218,1.198,-0.146,0.114
V219,0.604,-2.060,0.009
V220,1.553,-1.810,0.169
V221,2.619,-2.100,0.102
V222,2.566,-1.544,0.129
V223,1.942,-2.483,0.106
V224,1.226,-2.171,0.017
V225,1.877,-3.120,0.066
V226,1.180,-2.852,0.017
V227,1.048,-2.780,0.014
V228,1.230,-2.485,0.005
V229,1.142,-1.292,0.004
V230,3.032,-0.411,0.351
V231,0.989,-2.035,0.004
V232,1.730,1.006,0.202
V233,1.342,-2.036,0.169
V234,1.728,-2.388,0.121
V235,0.864,-2.168,0.026
V236,1.155,-3.377,0.055
V237,1.023,-2.528,0.091
V238,1.631,-1.826,0.273
V239,1.089,-0.412,0.076
V240,0.710,1.135,0.297
V241,1.208,-1.888,0.003
V242,1.818,-2.647,0.051
V243,1.135,-0.789,0.002
V244,1.295,-2.332,0.004
V245,1.248,-2.919,0.013
V246,0.293,2.827,0.055
V247,2.510,-3.372,0.002
V248,1.228,-3.364,0.021
V249,0.865,-1.768,0.007
V250,0.043,25.414,0.092
V251,1.090,-1.449,0.005
V252,1.700,-0.235,0.513
V253,1.602,-2.942,0.030
V254,0.445,-1.412,0.014
V255,2.980,-2.054,0.327
V256,5.129,-2.183,0.121
V257,1.454,-2.043,0.041
V258,1.017,-2.073,0.159
V259,2.033,-3.911,0.012
V260,1.790,-2.389,0.051
V261,2.160,-2.381,0.004
V262,2.822,-1.487,0.224
V263,1.499,-3.200,0.017
V264,0.970,-1.770,0.004
V265,0.835,-1.236,0.146
V266,1.731,-2.136,0.368
V267,2.233,-1.485,0.025
V268,1.783,-2.851,0.133
V269,3.037,-0.943,0.451
V270,0.743,-1.687,0.005
V271,1.292,-3.347,0.011
V272,1.165,1.497,0.198
V273,1.523,-2.262,0.010
V274,1.345,-2.377,0.010
V275,1.920,0.856,0.394
V276,8.926,-0.675,0.463
V277,0.691,-0.538,0.004
V278,1.149,-2.331,0.022
V279,1.349,-1.871,0.114
V280,2.207,-0.284,0.549
V281,0.734,-2.225,0.007
V282,5.481,-1.398,0.595
V283,-0.052,-22.496,0.058
V284,0.842,0.119,0.161
V285,1.670,-2.538,0.189
V286,0.546,-1.413,0.015
V287,1.384,-1.908,0.004
V288,0.751,-0.868,0.145
V289,0.585,-0.628,0.006
V290,1.134,-1.643,0.015
V291,0.930,-1.746,0.005
V292,2.147,-2.242,0.187
V293,1.935,-2.618,0.113
V294,1.307,-1.732,0.005
V295,1.122,0.432,0.113
V296,2.059,-1.113,0.472
V297,5.265,-2.269,0.275
V298,1.824,-3.239,0.017
V299,1.823,-1.860,0.411
V300,1.598,-2.119,0.161
V301,1.180,-1.129,0.067
V302,0.515,-0.139,0.008
V303,1.388,-2.488,0.102
V304,3.615,-2.589,0.101
V305,1.480,-1.929,0.005
V306,0.744,-2.425,0.016
V307,1.209,2.164,0.104
V308,1.582,-1.237,0.479
V309,2.215,0.727,0.482
V310,1.542,-1.445,0.149
V311,2.068,-2.718,0.201
V312,1.184,-1.572,0.450
V313,1.027,-0.955,0.070
V314,2.908,-2.062,0.159
V315,2.494,-0.248,0.512
V316,1.714,-2.902,0.025
V317,1.436,-1.953,0.005
V318,0.905,-2.722,0.014
V319,1.158,-1.511,0.006
V320,1.025,-1.765,0.006
V321,2.145,-2.658,0.004
V322,5.015,-2.768,0.001
V323,2.396,-2.458,0.203
V324,0.701,-1.357,0.005
V325,2.322,-0.448,0.500
V326,2.586,-1.783,0.243
V327,0.459,-1.615,0.034
V328,0.953,-1.336,0.086
V329,2.508,-2.044,0.134
V330,1.494,-0.445,0.113
V331,6.579,-1.955,0.279
V332,3.505,-1.393,0.167
V333,0.437,0.366,0.022
V334,1.735,-2.557,0.106
V335,1.150,-2.086,0.009
V336,2.538,-1.751,0.394
V337,1.845,-1.970,0.230
V338,1.888,-1.658,0.096
V339,1.030,-2.219,0.092
V340,1.070,-2.020,0.005
V341,1.086,-3.358,0.026
V342,0.444,0.405,0.055
V343,5.680,-2.688,0.196
V344,0.570,-0.466,0.018
V345,3.456,-2.607,0.100
V346,1.333,-1.007,0.006
V347,1.348,-1.951,0.118
V348,2.338,-2.980,0.167
V349,3.075,-1.501,0.221
V350,1.060,-2.963,0.079
V351,1.553,-4.260,0.017
V352,0.952,-2.426,0.174
V353,1.806,-2.493,0.122
V354,0.369,-0.520,0.014
V355,0.444,-2.386,0.019
V356,0.710,-0.047,0.199
V357,0.859,-1.312,0.011
V358,1.544,-2.478,0.005
V359,1.549,-2.160,0.153
V360,1.974,-2.859,0.004
V361,5.210,1.914,0.312
V362,1.155,-4.046,0.019
V363,1.124,-2.928,0.013
V364,1.459,-3.822,0.011
V365,2.432,-2.213,0.177
V366,1.495,-1.760,0.007
V367,3.063,-2.808,0.107
V368,1.182,-2.336,0.005
V369,1.173,-2.624,0.020
V370,1.190,-2.835,0.020
V371,0.645,-3.097,0.014
V372,1.369,-2.284,0.095
V373,1.578,-0.627,0.099
V374,1.508,-2.684,0.293
V375,1.220,-2.820,0.017
V376,0.341,0.665,0.010
V377,1.015,-2.829,0.014
V378,1.319,-2.355,0.030
V379,1.269,-3.768,0.012
V380,1.237,-0.789,0.354
V381,1.163,-2.544,0.006
V382,0.581,0.177,0.005
V383,8.866,-0.703,0.600
V384,5.584,-1.480,0.437
V385,1.127,-3.346,0.012
V386,1.328,-3.147,0.015
V387,5.169,-2.368,0.106
V388,6.317,0.502,0.447
V389,1.650,-2.875,0.051
V390,0.272,-1.452,0.024
V391,5.759,-2.087,0.281
V392,2.400,-2.464,0.004
V393,1.804,-1.787,0.003
V394,1.589,-1.796,0.003
V395,3.157,-3.621,0.001
V396,2.634,-0.053,0.565
V397,1.733,-2.877,0.033
V398,1.284,-3.334,0.019
V399,2.454,-2.870,0.112
V400,2.528,-3.890,0.001
V401,0.956,-2.024,0.031
V402,1.347,-1.720,0.071
V403,1.284,1.516,0.337
V404,1.770,-2.766,0.005
V405,0.575,-2.921,0.014
V406,4.730,-2.966,0.000
V407,1.620,-1.366,0.005
V408,0.950,-1.465,0.201
V409,2.066,0.157,0.445
V410,0.824,0.490,0.119
V411,0.438,-1.128,0.043
V412,1.816,-2.649,0.050
V413,1.215,-0.312,0.292
V414,1.397,-2.459,0.004
V415,0.966,-3.434,0.009
V416,0.649,-3.537,0.020
V417,1.315,-2.482,0.023
V418,1.581,-3.772,0.014
V419,1.273,-1.095,0.212
V420,1.279,-3.029,0.011
V421,1.842,-1.916,0.156
V422,1.061,-2.301,0.123
V423,13.899,-0.421,0.585
V424,1.178,-3.630,0.023
V425,3.093,-1.308,0.103
V426,2.169,-2.421,0.108
V427,1.940,-1.635,0.345
V428,6.604,-1.371,0.395
V429,1.028,-0.325,0.480
V430,2.070,-3.384,0.023
V431,0.957,-1.853,0.005
V432,1.071,-1.577,0.012
V433,1.554,-2.466,0.009
V434,3.185,-2.389,0.199
V435,1.582,-1.834,0.236
V436,1.532,-2.378,0.055
V437,1.437,0.840,0.198
V438,1.226,-3.082,0.014
V439,1.345,-2.485,0.005
V440,4.693,-2.168,0.256
V441,1.483,-3.030,0.020
V442,0.922,-1.556,0.005
V443,1.573,-2.472,0.115
V444,0.544,-1.140,0.008
V445,1.884,-1.895,0.207
V446,1.068,-2.331,0.017
V447,0.896,-2.912,0.012
