Clf,Theta
GaussianNB,-0.6833170327857617
BernoulliNB,-0.8377749876723739
KNeighborsClassifier(2),0.8037038041268902
KNeighborsClassifier(3),0.8037038041268902
KNeighborsClassifier(5),0.8037038041268902
KNeighborsClassifier(8),0.8037038041268902
DecisionTreeClassifier(),0.19241628271498043
RandomForestClassifier(3_estimators),0.8037038041268902
RandomForestClassifier(5_estimators),0.19241628271498043
RandomForestClassifier,0.8037038041268902
SVM,0.8037038041268902
MLPClassifier,0.8037038041268902
rand1,-1.8037108252707825
rand2,-1.9773106188064542
rand3,-1.8993881803009136
majoritario,-1.923152473009759
minoritario,-1.9007373040123343
pessimo,-3.0547137191419944
otimo,0.8037038041268902
