,Discriminacao,Dificuldade,Adivinhacao
V197,16.467,0.555,0.287
V198,37.406,0.666,0.356
V199,17.433,0.644,0.059
V200,15.302,0.661,0.047
V201,-0.222,9.417,0.038
V202,-0.306,-8.555,0.003
V203,-0.306,7.169,0.010
V204,27.212,0.364,0.083
V205,-0.307,-6.564,0.000
V206,0.887,7.092,0.268
V207,5.197,0.563,0.287
V208,-0.135,-12.531,0.002
V209,3.808,0.765,0.317
V210,-0.217,-3.764,0.001
V211,21.361,0.637,0.155
V212,10.675,1.427,0.313
V213,-0.420,4.161,0.001
V214,-0.198,-12.460,0.007
V215,-0.411,-6.043,0.000
V216,21.985,0.740,0.059
V217,-0.370,4.252,0.001
V218,-15.231,-0.526,0.012
V219,-0.171,12.956,0.035
V220,-2.877,-4.392,0.068
V221,5.357,0.661,0.182
V222,-13.499,-0.578,0.000
V223,-16.299,-0.507,0.011
V224,-0.101,19.585,0.057
V225,-14.402,-0.556,0.000
V226,-12.538,-0.611,0.012
V227,-14.113,-0.537,0.000
V228,-0.158,-12.995,0.004
V229,-13.343,-0.577,0.000
V230,-0.273,-8.285,0.000
V231,-3.675,-0.963,0.000
V232,-0.335,-7.048,0.000
V233,12.890,0.633,0.083
V234,-0.821,-2.888,0.000
V235,-0.366,5.465,0.003
V236,6.662,0.964,0.036
V237,-14.539,-0.608,0.000
V238,-0.339,-6.180,0.000
V239,-0.439,-5.923,0.000
V240,2.606,5.834,0.158
V241,-0.312,-6.980,0.000
V242,-0.406,4.619,0.001
V243,-13.272,-0.561,0.000
V244,-8.383,-0.403,0.000
V245,-0.087,17.767,0.060
V246,-0.528,-4.998,0.000
V247,9.925,0.539,0.178
V248,21.595,0.608,0.083
V249,-13.789,-0.566,0.000
V250,-0.268,-7.228,0.000
V251,-0.423,4.644,0.001
V252,1.426,5.140,0.123
V253,-0.607,-4.033,0.000
V254,-13.752,-0.593,0.000
V255,16.087,0.615,0.083
V256,36.073,0.385,0.143
V257,3.508,0.825,0.172
V258,-0.460,-9.152,0.000
V259,24.324,0.645,0.179
V260,-0.239,-9.462,0.000
V261,14.300,0.657,0.023
V262,-0.450,-5.304,0.000
V263,-0.437,4.325,0.001
V264,-0.326,7.123,0.006
V265,-14.521,-0.540,0.000
V266,-0.190,-3.384,0.006
V267,-4.880,-3.621,0.061
V268,-0.372,-5.455,0.000
V269,0.816,-0.852,0.004
V270,2.176,1.131,0.220
V271,24.270,0.759,0.048
V272,-0.291,-8.097,0.000
V273,29.822,0.366,0.119
V274,-13.025,-0.560,0.000
