,Discriminacao,Dificuldade,Adivinhacao
V199,1.814,-1.292,0.088
V200,2.726,-2.450,0.043
V201,4.596,-0.382,0.247
V202,-1.430,-5.912,0.002
V203,2.979,0.667,0.075
V204,-0.141,-10.487,0.152
V205,0.834,-1.765,0.054
V206,3.427,-2.086,0.032
V207,2.713,-2.439,0.046
V208,2.219,-2.195,0.141
V209,2.867,-1.544,0.343
V210,0.686,-2.027,0.051
V211,7.011,0.106,0.203
V212,1.559,1.962,0.129
V213,2.012,-3.039,0.072
V214,0.593,-1.075,0.149
V215,2.256,-2.354,0.035
V216,1.271,-3.120,0.046
V217,1.068,-1.636,0.035
V218,2.807,0.074,0.283
V219,0.000,8349.864,0.216
V220,0.152,5.195,0.143
V221,3.921,-1.112,0.340
V222,2.012,-3.039,0.072
V223,3.921,-1.112,0.340
V224,3.341,-3.419,0.039
V225,0.500,11.217,0.002
V226,-0.483,-10.557,0.006
V227,1.346,-1.756,0.060
V228,5.855,0.012,0.100
V229,-0.106,-7.082,0.064
V230,4.606,-1.120,0.025
V231,-0.187,-3.620,0.084
V232,0.767,-0.967,0.064
V233,6.730,-1.314,0.024
V234,1.651,-1.627,0.032
V235,1.353,-1.224,0.056
V236,2.326,-1.549,0.212
V237,1.681,-0.195,0.025
V238,2.239,-2.680,0.081
V239,4.710,0.236,0.276
V240,1.844,-1.848,0.196
V241,2.723,-0.714,0.050
V242,5.326,-1.099,0.024
V243,2.884,-1.732,0.093
V244,-0.179,-25.745,0.046
V245,3.341,-3.419,0.040
V246,0.890,-2.514,0.063
V247,1.835,-1.998,0.030
V248,3.341,-3.418,0.040
V249,3.430,-2.069,0.106
V250,2.011,-3.041,0.073
V251,2.240,-2.680,0.081
V252,-0.298,-15.649,0.014
V253,2.393,-0.341,0.031
V254,1.165,-3.200,0.053
V255,2.241,-2.680,0.081
V256,-0.224,-11.692,0.033
V257,0.173,-0.665,0.072
V258,2.945,-1.241,0.105
V259,3.429,-2.086,0.032
V260,0.182,1.004,0.096
V261,-0.197,-10.359,0.046
V262,2.542,-2.171,0.140
V263,0.092,68.514,0.037
V264,0.072,90.225,0.005
V265,2.987,-0.650,0.028
V266,-0.213,-24.017,0.025
V267,8.194,0.165,0.158
V268,4.216,-1.446,0.334
V269,3.269,-1.311,0.341
V270,7.737,-0.425,0.160
V271,1.710,-0.506,0.028
V272,6.332,0.578,0.235
V273,3.429,-2.086,0.032
V274,-0.338,-11.268,0.013
V275,4.131,-1.097,0.214
V276,2.242,-2.680,0.081
V277,1.344,-1.436,0.053
V278,2.011,-3.044,0.073
V279,5.642,0.306,0.278
V280,0.405,16.473,0.052
V281,-0.353,-14.690,0.008
V282,5.322,-2.096,0.307
V283,0.411,16.302,0.044
V284,2.169,-1.899,0.155
V285,-0.351,-2.712,0.017
V286,2.010,-3.044,0.073
V287,0.379,6.115,0.068
V288,-0.139,-35.196,0.062
V289,2.791,-2.354,0.143
V290,2.941,-1.915,0.098
V291,0.583,-1.453,0.085
V292,1.579,-2.041,0.059
V293,6.576,0.247,0.195
V294,7.500,-1.234,0.023
V295,2.402,-1.737,0.073
V296,1.834,1.833,0.042
V297,1.699,-1.831,0.109
V298,-0.239,-12.912,0.039
V299,2.297,-0.822,0.031
V300,2.251,-2.690,0.076
V301,-0.380,-16.795,0.004
V302,4.830,1.008,0.072
V303,0.151,-1.414,0.090
V304,1.409,-3.229,0.044
V305,3.307,-1.834,0.031
V306,2.255,-1.971,0.229
V307,1.990,-0.269,0.052
V308,6.959,-0.019,0.071
V309,1.803,-3.787,0.077
V310,3.430,-2.086,0.032
V311,3.025,-1.437,0.217
V312,3.403,-1.629,0.030
V313,1.704,-2.045,0.042
V314,1.409,-3.229,0.044
V315,2.010,-3.047,0.073
V316,7.572,-0.786,0.017
V317,3.110,0.235,0.222
V318,-0.082,-8.313,0.156
V319,3.451,-1.244,0.029
V320,3.404,-1.629,0.030
V321,3.258,-1.168,0.025
V322,1.896,-1.002,0.032
V323,3.431,-2.086,0.032
V324,2.839,-1.634,0.223
V325,2.364,-1.379,0.027
V326,2.009,-3.048,0.074
V327,3.610,-1.676,0.024
V328,2.112,-1.222,0.032
V329,1.297,-3.065,0.048
V330,2.312,1.068,0.125
V331,2.253,-2.690,0.076
V332,2.009,-3.049,0.074
V333,3.341,-3.418,0.040
V334,2.254,-2.690,0.076
V335,3.341,-3.418,0.040
V336,3.304,-0.477,0.062
V337,-0.215,-11.222,0.036
V338,2.828,-1.309,0.026
V339,2.730,-2.451,0.043
V340,2.794,-2.354,0.143
V341,4.765,0.527,0.344
V342,0.114,21.955,0.091
V343,1.940,-1.444,0.107
V344,2.255,-2.690,0.076
V345,3.683,-1.459,0.029
V346,0.297,-0.752,0.085
V347,0.715,-2.354,0.069
V348,5.998,-1.406,0.024
V349,0.339,-1.772,0.088
V350,1.234,-2.322,0.047
V351,-0.095,-61.401,0.051
V352,3.432,-2.086,0.032
V353,1.427,-1.603,0.048
V354,0.357,7.000,0.121
V355,3.397,-1.155,0.027
V356,2.017,-1.700,0.057
V357,4.184,-1.508,0.218
V358,-0.317,-3.012,0.029
V359,2.720,-2.439,0.047
V360,0.397,-3.032,0.068
V361,2.852,0.827,0.280
V362,2.731,-2.451,0.043
V363,1.409,-3.229,0.044
V364,1.228,-2.055,0.035
V365,1.252,5.158,0.049
V366,1.810,-3.321,0.082
V367,2.008,-3.054,0.074
V368,3.130,-1.422,0.222
V369,2.822,2.162,0.093
V370,3.468,-0.800,0.397
V371,2.007,-3.054,0.074
V372,7.500,-1.234,0.023
V373,-0.926,-6.388,0.004
V374,2.007,-3.055,0.074
V375,0.569,5.693,0.062
V376,6.503,-0.789,0.061
V377,2.006,3.386,0.051
V378,2.654,-1.019,0.031
V379,5.766,-2.042,0.096
V380,-0.055,-16.156,0.266
V381,4.928,-0.768,0.348
V382,1.516,-1.983,0.032
V383,2.732,-2.451,0.043
V384,-0.118,-35.375,0.055
V385,0.741,-2.407,0.064
V386,1.806,-3.786,0.079
V387,0.491,-2.802,0.065
V388,2.574,-1.417,0.103
V389,2.396,0.024,0.195
V390,-0.232,-18.203,0.047
V391,1.880,-2.292,0.128
V392,2.007,-3.056,0.074
V393,4.006,-0.864,0.370
V394,0.263,33.765,0.301
V395,1.806,-3.786,0.079
V396,-0.960,-5.320,0.008
V397,5.893,-0.892,0.018
V398,1.882,-1.808,0.030
V399,0.500,11.217,0.002
V400,-0.439,-7.442,0.019
V401,4.192,-1.238,0.025
V402,2.006,-3.058,0.075
V403,3.806,-0.761,0.147
V404,1.228,1.906,0.514
V405,4.105,-1.714,0.219
V406,1.806,-3.786,0.079
V407,2.990,-0.980,0.028
V408,2.723,-2.439,0.047
V409,6.714,0.041,0.126
V410,2.006,-3.060,0.075
V411,7.388,-1.127,0.022
V412,1.804,1.912,0.147
V413,2.995,-1.121,0.358
V414,2.006,-3.060,0.075
V415,2.394,0.373,0.035
V416,3.130,-1.422,0.222
V417,1.434,-3.525,0.042
V418,2.724,-2.439,0.047
V419,0.490,-2.705,0.057
V420,3.143,0.409,0.334
V421,2.342,-1.172,0.030
V422,1.120,-1.667,0.045
V423,3.150,-1.294,0.026
V424,3.433,-2.069,0.105
V425,2.585,-1.544,0.188
V426,1.227,-3.145,0.047
V427,7.545,-0.708,0.017
V428,3.130,-1.422,0.222
V429,3.117,-0.407,0.181
V430,1.117,-1.004,0.159
V431,2.075,-2.274,0.047
V432,3.574,-0.931,0.032
V433,2.240,-0.654,0.047
V434,-0.275,-1.567,0.051
V435,-0.175,-20.347,0.045
V436,-0.363,-1.690,0.036
V437,1.714,1.871,0.019
V438,-0.003,-1751.655,0.058
V439,-0.374,-2.031,0.019
V440,1.808,-3.785,0.079
V441,5.841,0.585,0.241
V442,2.005,-3.063,0.075
V443,4.911,0.517,0.078
V444,7.490,-1.394,0.023
V445,-0.186,-4.641,0.088
V446,2.374,-2.781,0.053
V447,1.421,-3.215,0.045
V448,2.151,1.163,0.153
V449,2.004,-3.064,0.075
V450,1.944,-1.203,0.109
V451,3.468,-0.240,0.026
V452,5.291,0.978,0.138
V453,7.490,-1.394,0.023
V454,0.201,32.604,0.037
V455,4.451,-0.837,0.018
V456,-0.368,-2.922,0.018
V457,1.215,-1.891,0.054
V458,-0.273,-9.202,0.106
V459,3.898,1.104,0.238
V460,4.434,0.560,0.300
V461,1.518,-0.684,0.042
V462,7.260,-0.789,0.017
V463,2.800,-2.354,0.143
V464,2.573,-1.970,0.072
V465,3.951,-0.870,0.369
V466,1.579,0.032,0.079
V467,4.259,0.577,0.269
V468,2.629,-2.038,0.158
V469,-0.443,-7.675,0.008
